2020-01-04 18:55:28.962 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-01-04 18:55:41.426 [Thread-25] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-04 18:55:41.868 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Starting LogbackdemoApplication on hxyl with PID 25900 (D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo\17SpringBoot-LogBackDemo\target\classes started by nantian in D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo)
2020-01-04 18:55:41.868 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - No active profile set, falling back to default profiles: default
2020-01-04 18:55:42.230 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2020-01-04 18:55:42.349 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-01-04 18:55:42.350 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-04 18:55:42.351 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-04 18:55:42.351 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-01-04 18:55:42.424 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-01-04 18:55:42.425 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 542 ms
2020-01-04 18:55:42.512 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-04 18:55:42.575 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-01-04 18:55:42.583 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-01-04 18:55:42.587 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-01-04 18:55:42.587 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Started LogbackdemoApplication in 0.809 seconds (JVM running for 105.877)
2020-01-04 18:55:42.589 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-01-04 18:55:49.857 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-01-04 18:55:49.860 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-01-04 18:55:49.862 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2020-01-04 18:55:49.863 [http-nio-8080-exec-1] INFO  com.xyz.logbackdemo.controller.LogBackController2 - +++++info++++++
2020-01-04 18:55:49.863 [http-nio-8080-exec-1] ERROR com.xyz.logbackdemo.controller.LogBackController2 - ++++error++++++
2020-01-04 18:56:44.610 [Thread-30] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-04 18:56:44.894 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Starting LogbackdemoApplication on hxyl with PID 25900 (D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo\17SpringBoot-LogBackDemo\target\classes started by nantian in D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo)
2020-01-04 18:56:44.895 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - No active profile set, falling back to default profiles: default
2020-01-04 18:56:45.143 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2020-01-04 18:56:45.224 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-01-04 18:56:45.225 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-04 18:56:45.225 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-04 18:56:45.225 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-01-04 18:56:45.262 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-01-04 18:56:45.262 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 365 ms
2020-01-04 18:56:45.315 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-04 18:56:45.369 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-01-04 18:56:45.383 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-01-04 18:56:45.386 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-01-04 18:56:45.387 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Started LogbackdemoApplication in 0.549 seconds (JVM running for 168.677)
2020-01-04 18:56:45.389 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-01-04 19:00:17.157 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-01-04 19:00:17.159 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-01-04 19:00:17.163 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2020-01-04 19:00:24.434 [http-nio-8080-exec-2] INFO  com.xyz.logbackdemo.controller.LogBackController2 - +++++info++2222++++
2020-01-04 19:00:24.435 [http-nio-8080-exec-2] ERROR com.xyz.logbackdemo.controller.LogBackController2 - ++++error+2222+++++
